Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
Moron	Dead Milkmen		Eat Your Paisley		Punk	2787619	116			14			6/20/05 2:43 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 14 - Moron.mp3	366
Fez	Dead Milkmen		Eat Your Paisley		Punk	7552352	314			15			6/20/05 2:46 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 15 - Fez.mp3	366
Vince Lombardi Service Center	Dead Milkmen		Eat Your Paisley		Punk	3983843	165			16			6/20/05 2:47 PM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Eat Your Paisley:Dead Milkmen - Eat Your Paisley - 16 - Vince Lombardi Service Center.mp3	366
Deluxe (Immer wieder)	Harmonia		Deluxe			11663168	583			1	11		6/20/05 5:45 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Deluxe:01 Deluxe (Immer wieder).mp3	366
Walky-Talky	Harmonia		Deluxe			12857486	642			2	11		6/20/05 5:47 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Deluxe:02 Walky-Talky.mp3	366
Monza (Rauf und runter)	Harmonia		Deluxe			8544148	427			3	11		6/20/05 5:48 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Deluxe:03 Monza (Rauf und runter).mp3	366
Notre Dame	Harmonia		Deluxe			5108523	255			4	11		6/20/05 5:49 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Deluxe:04 Notre Dame.mp3	366
Gollum	Harmonia		Deluxe			5578727	278			5	11		6/20/05 5:51 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Deluxe:05 Gollum.mp3	366
Kekse	Harmonia		Deluxe			6704082	335			6	11		6/20/05 5:52 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Deluxe:06 Kekse.mp3	366
All	Descendents	Milo	All		Alternative & Punk	99355	4			1	13	1987	6/25/05 2:33 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:01 All.mp3	366
Coolidge	Descendents	Milo	All		Alternative & Punk	3349516	167			2	13	1987	6/25/05 2:35 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:02 Coolidge.mp3	366
No, All!	Descendents	Milo	All		Alternative & Punk	100928	4			3	13	1987	6/25/05 2:35 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Descendents:All:03 No, All!.mp3	366
